Sentence,Party,Sentiment,Overall Sentiment
Austin had brought two grams of cocaine from the mobile home to the body shop,"[[austin],[]]","[[-1],[]]",-1
forfeiture of his properties would violate the Eighth Amendment Excessive Fines Clause.,"[[his],[]]","[[-1],[]]",-1
"The determinative question is not, as the Government would have it, whether forfeiture under 881(a)(4) and (a)(7) is civil or criminal.","[[],[government]]","[[],[1]]",-1
the Government would have it,"[[],[government]]","[[],[0]]",0
"On August 2, 1990, petitioner Richard Lyle Austin was indicted on four counts of violating South Dakota drug laws.","[[Richard Lyle Austin],[]]","[[-1],[]]",-1
"Austin ultimately pleaded guilty to one count of possessing cocaine with intent to distribute, and was sentenced by the state court to seven years imprisonment. ","[[austin],[]]","[[-1],[]]",-1
Austin filed a claim and an answer to the complaint.,"[[austin],[]]","[[1],[]]",1
"On February 4, 1991, the United States made a motion, supported by an affidavit from Sioux Falls Police Officer Donald Satterlee, for summary judgment.","[[],[united states]]","[[],[1]]",1
The District Court rejected this argument and entered summary judgment for the United States.,"[[],[united states]]","[[],[1]]",1
Austin contends that the Eighth Amendment Excessive Fines Clause applies to in rem civil forfeiture proceedings.,"[[austin],[]]","[[1],[]]",1
"In opposing summary judgment, Austin argued that forfeiture of the properties would violate the Eighth Amendment.","[[austin],[]]","[[1],[]]",1
"In opposing summary judgment, Austin argued","[[austin],[]]","[[1],[]]",1
"According to Satterlee affidavit, Austin met Keith Engebretson at Austin body shop on June 13, 1990, and agreed to sell cocaine to Engebretson.","[[austin],[]]","[[-1],[]]",-1
"Austin left the shop, went to his mobile home, and returned to the shop with two grams of cocaine which he sold to Engebretson.","[[austin,his,he],[]]","[[-1,-1,-1],[]]",-1
"Austin left the shop, went to his mobile home, and returned to the shop with two grams of cocaine","[[austin,his],[]]","[[-1,-1],[]]",-1
he sold to Engebretson.,"[[he],[]]","[[-1],[]]",-1
"Although it thought that “the principle of proportionality should be applied in civil actions that result in harsh penalties,” ibid., and that the Government was “exacting too high a penalty in relation to the offense committed,” id., at 818, the court felt constrained from holding the forfeiture unconstitutional","[[],[government]]","[[],[-1]]",-1
"the Government was “exacting too high a penalty in relation to the offense committed,” id., at 818, the court felt constrained from holding the forfeiture unconstitutional","[[],[government]]","[[],[-1]]",-1
"It cited this Court’s decision in CaleroToledo v. Pearson Yacht Leasing Co., 416 U. S. 663 (1974), for the proposition that, when the Government is proceeding against property in rem, the guilt or innocence of the property’s owner “is constitutionally irrelevant.”","[[],[government]]","[[],[-1]]",-1
the Government is proceeding against property in rem,"[[],[government]]","[[],[-1]]",-1
"The Government argues that §§ 881(a)(4) and (a)(7) are not punitive but, rather, should be considered remedial in two respects","[[],[government]]","[[],[1]]",1
"The Court, however, previously has rejected government’s attempt to extend that reasoning to conveyances used to transport illegal liquor.","[[],[government]]","[[],[-1]]",-1
"The same, without question, is true of the properties involved here, and the Government’s attempt to characterize these properties as “instruments” of the drug trade must meet the same fate as Pennsylvania’s effort to characterize the 1958 Plymouth sedan as “contraband.”","[[],[government]]","[[],[1]]",1
the Government’s attempt to characterize these properties as “instruments” of the drug trade must meet the same fate as Pennsylvania’s effort to characterize the 1958 Plymouth sedan as “contraband.”,"[[],[government]]","[[],[0]]",0
"Fundamentally, even assuming that §§ 881(a)(4) and (a)(7) serve some remedial purpose, the Government’s argument must fail.","[[],[government]]","[[],[-1]]",-1
the Government’s argument must fail.,"[[],[government]]","[[],[-1]]",-1
"According to Satterlee affidavit, Austin met Keith Engebretson at Austin body shop on June 13, 1990, and agreed to sell cocaine to Engebretson.","[[austin],[]]","[[-1],[]]",-1
"Although the Court of Appeals opined that “the government is exacting too high a penalty in relation to the offense committed,” 964 F. 2d, at 818, it had no occasion to consider what factors should inform such a decision because it thought it was foreclosed from engaging in the inquiry.","[[],[government]]","[[],[-1]]",0
the government is exacting too high a penalty in relation to the offense committed,"[[],[government]]","[[],[-1]]",-1
"Here, however, the offense of which petitioner has been convicted is not relevant to the forfeiture","[[petitioner],[]]","[[1],[]]",1
petitioner has been convicted,"[[petitioner],[]]","[[-1],[]]",-1
"The Court of Appeals affirmed, agreeing with the Government that the Eighth Amendment is inapplicable to in rem civil forfeitures","[[],[government]]","[[],[1]]",1
"The Court of Appeals affirmed, agreeing with the Government that the Eighth Amendment is inapplicable to in rem civil forfeitures.","[[],[government]]","[[],[1]]",1
petitioner Richard Lyle Austin was indicted on four counts of violating South Dakota drug laws.,"[[Richard Lyle Austin],[]]","[[-1],[]]",-1
"The United States Court of Appeals for the Eighth Circuit ""reluctantly agree[d] with the government,"" and affirmed.","[[],[government]]","[[],[1]]",1
"The purpose of the Eighth Amendment, putting the Bail Clause to one side, was to limit the government power to punish.","[[],[government]]","[[],[-1]]",-1
Schwab moved the Bankruptcy Court for permission to auction the equipment,"[[austin],[]]","[[0],[]]",0
"Because the instant suit was prosecuted by the United States, and because Austin property was forfeited to the United States, we have no occasion to address that question here","[[austin],[united states]]","[[-1],[0]]",0
the instant suit was prosecuted by the United States,"[[],[united states]]","[[],[0]]",0
Austin property was forfeited to the United States,"[[austin],[united states]]","[[-1],[1]]",-1
"Here, however, the offense of which petitioner has been convicted is not relevant to the forfeiture.","[[petitioner],[]]","[[1],[]]",1
Section 881 requires only that the Government show probable cause that the subject property was used for the prohibited purpose,"[[],[government]]","[[],[1]]",1
Section 881 requires only that the Government show probable cause,"[[],[government]]","[[],[1]]",1
"We do not understand the Government to rely separately on the technical distinction between proceedings in rem and proceedings in [509 U.S. 602, 13] personam, but we note that any such reliance would be misplaced.","[[],[government]]","[[],[-1]]",-1
"the Government to rely separately on the technical distinction between proceedings in rem and proceedings in [509 U.S. 602, 13] personam","[[],[government]]","[[],[-1]]",-1
The Government relies heavily on this fiction.,"[[],[government]]","[[],[1]]",1
"The Court, however, previously has rejected government attempt to extend that reasoning to conveyances used to transport illegal liquor.","[[],[government]]","[[],[-1]]",-1
"The purpose of the Eighth Amendment, putting the Bail Clause to one side, was to limit the government power to punish.","[[],[government]]","[[],[1]]",1
we held that the Excessive Fines Clause does not limit the award of punitive damages to a private party in a civil suit when the government neither has prosecuted the action nor has any right to receive a share of the damages.,"[[],[government]]","[[],[0]]",-1
the government neither has prosecuted the action nor has any right to receive a share of the damages.,"[[],[government]]","[[],[0]]",0
"In 2003, a police detective tried to question respondent Shatzer, who was incarcerated at a Maryland prison pursuant to a prior conviction, about allegations that he had sexually abused his son.","[[],[respondent shatzer,he],his]","[[],[-1,-1,-1]]",-1
"In 2003, a police detective tried to question respondent Shatzer","[[],[respondent shatzer,he,his]]","[[],[-1,-1,-1]]",-1
he had sexually abused his son.,"[[],[he,his]]","[[],[-1,-1]]",-1
"Shatzer invoked his Miranda right to have counsel present during interrogation, so the detective terminated the interview.","[[],[shatzer,his]]","[[],[-1,-1]]",-1
Shatzer invoked his Miranda right to have counsel present during interrogation,"[[],[shatzer,his]]","[[],[1,1]]",1
Shatzer was released back into the general prison population,"[[],[shatzer]]","[[],[-1]]",-1
Another detective reopened the investigation in 2006 and attempted to interrogate Shatzer,"[[],[shatzer]]","[[],[-1]]",-1
Shatzer waived his Miranda rights and made inculpatory statements.,"[[],[shatzer,his]]","[[],[-1,-1]]",-1
"The trial court refused to suppress those statements, reasoning that Edwards v. Arizona, 451 U. S. 477, did not apply because Shatzer had experienced a break in Miranda custody prior to the 2006 interrogation.","[[],[shatzer]]","[[],[-1]]",-1
Shatzer had experienced a break in Miranda custody prior to the 2006 interrogation.,"[[],[shatzer]]","[[],[-1]]",-1
Shatzer was convicted of sexual child abuse.,"[[],[shatzer]]","[[],[-1]]",-1
"The Court of Appeals of Maryland reversed, holding that the mere passage of time does not end the Edwards protections, and that, assuming, arguendo, a break-in-custody exception to Edwards existed, Shatzer release back into the general prison population did not constitute such a break.","[[],[shatzer]]","[[],[1]]",1
Shatzer release back into the general prison population did not constitute such a break.,"[[],[shatzer]]","[[],[1]]",1
"In August 2003, a social worker assigned to the Child Advocacy Center in the Criminal Investigation Division of the Hagerstown Police Department referred to the department allegations that respondent Michael Shatzer, Sr., had sexually abused his 3-year-old son.","[[],[respondent Michael Shatzer,his]]","[[],[-1,-1]]",-1
"respondent Michael Shatzer, Sr., had sexually abused his 3-year-old son.","[[],[respondent Michael Shatzer,his]]","[[],[-1,-1]]",-1
"At that time, Shatzer was incarcerated at the Maryland Correctional Institution-Hagerstown, serving a sentence for an unrelated child-sexual-abuse offense.","[[],[shatzer]]","[[],[-1]]",-1
"Detective Shane Blankenship was assigned to the investigation and interviewed Shatzer at the correctional institution on August 7, 2003.","[[],[shatzer]]","[[],[0]]",0
"Before asking any questions, Blankenship reviewed Shatzer Miranda rights with him, and obtained a written waiver of those rights.","[[],[shatzer,him]]","[[],[-1,-1]]",-1
"When Blankenship explained that he was there to question Shatzer about sexually abusing his son, Shatzer expressed confusion--he had thought Blankenship was an attorney there to discuss the prior crime for which he was incarcerated.","[[],[shatzer,his,he_1,he_2]]","[[],[-1,-1,-1,-1]]",-1
"he was there to question Shatzer about sexually abusing his son, Shatzer expressed confusion","[[],[he,shatzer,his]]","[[],[-1,-1,-1]]",-1
he was incarcerated.,"[[],[he]]","[[],[-1]]",-1
"Blankenship clarified the purpose of his visit, and Shatzer declined to speak without an attorney. ","[[],[shatzer]]","[[],[-1]]",-1
"Accordingly, Blankenship ended the interview, and Shatzer was released back into the general prison population.","[[],[shatzer]]","[[],[-1]]",-1
Shatzer declined to speak without an attorney,"[[],[shatzer]]","[[],[0]]",0
Shatzer was released back into the general prison population.,"[[],[shatzer]]","[[],[-1]]",-1
"Two years and six months later, the same social worker referred more specific allegations to the department about the same incident involving Shatzer.","[[],[shatzer]]","[[],[-1]]",-1
"He and the social worker interviewed the victim, then eight years old, who described the incident in more detail.","[[],[he]]","[[],[0]]",0
"He and the social worker interviewed the victim, then eight years old","[[],[he]]","[[],[0]]",0
"With this new information in hand, on March 2, 2006, they went to the Roxbury Correctional Institute, to which Shatzer had since been transferred, and interviewed Shatzer in a maintenance room outfitted with a desk and three chairs.","[[],[shatzer]]","[[],[0]]",0
Shatzer had since been transferred,"[[],[shatzer]]","[[],[0]]",0
interviewed Shatzer in a maintenance room outfitted with a desk and three chairs.,"[[],[shatzer]]","[[],[0]]",0
Hoover explained that he wanted to ask Shatzer about the alleged incident involving Shatzer son.,"[[],[shatzer]]","[[],[0]]",0
he wanted to ask Shatzer about the alleged incident involving Shatzer son.,"[[],[shatzer]]","[[],[0]]",0
"Shatzer was surprised because he thought that the investigation had been closed, but Hoover explained they had opened a new file.","[[],[shatzer,he]]","[[],[-1,-1]]",-1
Shatzer was surprised,"[[],[shatzer]]","[[],[0]]",0
he thought that the investigation had been closed,"[[],[he]]","[[],[1]]",1
Hoover then read Shatzer his Miranda rights and obtained a written waiver on a standard department form.,"[[],[shatzer]]","[[],[-1]]",-1
Hoover interrogated Shatzer about the incident for approximately 30 minutes.,"[[],[shatzer]]","[[],[0]]",0
"Shatzer denied ordering his son to perform fellatio on him, but admitted to masturbating in front of his son from a distance of less than three feet.","[[],[shatzer,his_1,him,his_2]]","[[],[-1,-1,-1,-1]]",-1
Shatzer denied ordering his son to perform fellatio on him,"[[],[shatzer,his,him]]","[[],[-1,-1,-1]]",-1
"Before the interview ended, Shatzer agreed to Hoover request that he submit to a polygraph examination.","[[],[shatzer,he]]","[[],[0,0]]",0
he submit to a polygraph examination.,"[[],[he]]","[[],[0]]",0
At no point during the interrogation did Shatzer request to speak with an attorney or refer to his prior refusal to answer questions without one.,"[[],[shatzer]]","[[],[1]]",1
"Five days later, on March 7, 2006, Hoover and another detective met with Shatzer at the correctional facility to administer the polygraph examination.","[[],[shatzer]]","[[],[0]]",0
"After reading Shatzer his Miranda rights and obtaining a written waiver, the other detective administered the test and concluded that Shatzer had failed.","[[],[shatzer]]","[[],[-1]]",-1
reading Shatzer his Miranda rights and obtaining a written waiver,"[[],[shatzer]]","[[],[0]]",0
Shatzer had failed.,"[[],[shatzer]]","[[],[-1]]",-1
"When the detectives then questioned Shatzer, he became upset, started to cry, and incriminated himself by saying, "" 'I didn't force him. I didn't force him.' ""","[[],[shatzer,he]]","[[],[1,1]]",1
"After making this inculpatory statement, Shatzer requested an attorney, and Hoover promptly ended the interrogation.","[[],[shatzer]]","[[],[1]]",1
"The State Attorney for Washington County charged Shatzer with second-degree sexual offense, sexual child abuse, second-degree assault, and contributing to conditions rendering a child in need of assistance.","[[],[shatzer]]","[[],[-1]]",-1
Shatzer moved to suppress his March 2006 statements pursuant to Edwards.,"[[],[shatzer,his]]","[[],[-1,-1]]",-1
The trial court held a suppression hearing and later denied Shatzer motion.,"[[],[shatzer]]","[[],[-1]]",-1
"The Edwards protections did not apply, it reasoned, because Shatzer had experienced a break in custody for Miranda purposes between the 2003 and 2006 interrogations.","[[],[shatzer]]","[[],[-1]]",-1
Shatzer had experienced a break in custody for Miranda purposes between the 2003 and 2006 interrogations.,"[[],[shatzer]]","[[],[-1]]",-1
"Shatzer pleaded not guilty, waived his right to a jury trial, and proceeded to a bench trial based on an agreed statement of facts.","[[],[shatzer]]","[[],[-1]]",-1
"In accordance with the agreement, the State described the interview with the victim and Shatzer 2006 statements to the detectives.","[[],[shatzer]]","[[],[0]]",0
"Based on the proffered testimony of the victim and the ""admission of the defendant as to the act of masturbation,"" the trial court found Shatzer guilty of sexual child abuse of his son.","[[],[shatzer,his]]","[[],[-1,-1]]",-1
No one questions that Shatzer was in custody for Miranda purposes during the interviews with Detective Blankenship in 2003 and Detective Hoover in 2006.,"[[],[shatzer]]","[[],[1]]",1
"Shatzer was in custody for Miranda purposes during the interviews with Detective Blankenship in 2003 and Detective Hoover in 2006. 
","[[],[shatzer]]","[[],[-1]]",-1
"After the 2003 interview, Shatzer was released back into the general prison population where he was serving an unrelated sentence.","[[],[shatzer,he]]","[[],[1,1]]",1
"After the 2003 interview, Shatzer was released back into the general prison population","[[],[shatzer]]","[[],[1]]",1
he was serving an unrelated sentence.,"[[],[he]]","[[],[-1]]",-1
she had put Schwab and her creditors on notice,"[[petitioner],[]]","[[0],[]]",0
"Respondents, royalty owners possessing rights to leases from which petitioner produced the gas, brought a class action against petitioner in a Kansas state court, seeking to recover interest on royalty payments that had been delayed by petitioner.","[[petitioner],[respondents]]","[[-1],[1]]",-1
"Respondents, royalty owners possessing rights to leases","[[],[respondents]]","[[],[1]]",1
"Petitioner William G. Schwab, the trustee of Reilly bankruptcy estate, did not object to Reilly claimed exemptions in her business equipment because the dollar value Reilly assigned each exemption fell within the limits that §§522(d)(5) and (6) prescribe.","[[petitioner],[]]","[[0],[]]",0
seeking to recover interest on royalty payments that had been delayed by petitioner.,"[[petitioner],[]]","[[-1],[]]",-1
"Respondents provided each class member with a notice by first-class mail describing the action and informing each member that he could appear in person or by counsel, that otherwise he would be represented by respondents, and that class members would be included in the class and bound by the judgment unless they ""opted out"" of the action by returning a ""request for exclusion.""","[[],[respondents]]","[[],[1]]",1
Respondents provided each class member with a notice by first-class mail describing the action and informing each member,"[[],[respondents]]","[[],[0]]",0
he would be represented by respondents,"[[],[respondents]]","[[],[0]]",0
"Notwithstanding that over 99% of the gas leases in question and some 97% of the plaintiff class members had no apparent connection of Kansas except for the lawsuit, the trial court applied Kansas contract and equity law to every claim and found petitioner liable for interest on the suspended royalties to all class members.","[[petitioner],[]]","[[-1],[]]",-1
"The Kansas Supreme Court affirmed over Petitioner contentions that the Due Process Clause of the Fourteenth Amendment prevented Kansas from adjudicating the claims of all the class members, and that that Clause and the Full Faith and Credit Clause prohibited application of Kansas law to all of the transactions between petitioner and the class members.","[[petitioner],[]]","[[-1],[]]",-1
"Petitioner William G. Schwab, the trustee of Reilly bankruptcy estate, did not object to Reilly claimed exemptions in her business equipment","[[petitioner],[]]","[[0],[]]",0
affirmed over Petitioner contentions that the Due Process Clause of the Fourteenth Amendment prevented Kansas from adjudicating the claims of all the class members,"[[petitioner],[]]","[[-1],[]]",-1
she had put Schwab and her creditors on notice that she intended to exempt the equipment full value,"[[petitioner],[]]","[[0],[]]",0
he was obliged to object,"[[petitioner],[]]","[[0],[]]",0
"he wished to preserve the estate right to retain any value in the equipment in excess of the $10,718 she estimated.","[[petitioner],[respondents,they]]","[[0],[0,0]]",0
"Respondents are some 28,000 of the royalty owners possessing rights to the leases  ","[[],[respondents]]","[[],[0]]",0
"Respondents brought a class action against petitioner in the Kansas state court, seeking to recover interest on royalty payments which had been delayed by petitioner.","[[petitioner],[respondents]]","[[-1],[1]]",-1
"Respondents brought a class action against petitioner in the Kansas state court, seeking to recover interest on royalty payments   ","[[petitioner],[respondents]]","[[-1],[1]]",-1
"They recovered judgment in the trial court, and the Supreme Court of Kansas affirmed the judgment over petitioner contentions that the Due Process Clause of the Fourteenth Amendment prevented Kansas from adjudicating the claims of all the respondents, and that the Due Process Clause and the Full Faith and Credit Clause of Article IV of the Constitution prohibited the application of Kansas law to all of the transactions between petitioner and respondents.","[[petitioner],[they,respondents]]","[[1],[-1,-1]]",1
They recovered judgment in the trial court,"[[],[they]]","[[],[0]]",0
Reilly further informed the Bankruptcy Court,"[[petitioner],[]]","[[0],[]]",0
Clause of the Fourteenth Amendment prevented Kansas from adjudicating the claims of all the respondents,"[[],[respondents]]","[[],[-1]]",-1
the Due Process Clause and the Full Faith and Credit Clause of Article IV of the Constitution prohibited the application of Kansas law to all of the transactions between petitioner and respondents.,"[[petitioner],[respondents]]","[[-1],[-1]]",-1
"Because petitioner sold the gas to its customers in interstate commerce, it was required to secure approval for price increases from what was then the Federal Power Commission, and is now the Federal Energy Regulatory Commission.","[[petitioner],[]]","[[1],[]]",1
"According to Reilly, Schwab was required to treat the estimate of market value","[[petitioner],[]]","[[0],[]]",0
"Under its regulations the Federal Power Commission permitted petitioner to propose and collect tentative higher gas prices, subject to final approval by the Commission","[[petitioner],[]]","[[1],[]]",1
"If the Commission eventually denied petitioner proposed price increase or reduced the proposed increase, petitioner would [472 U.S. 797, 800] have to refund to its customers the difference between the approved price and the higher price charged, plus interest at a rate set by statute.","[[petitioner],[]]","[[-1],[]]",-1
"the Commission eventually denied petitioner proposed price increase or reduced the proposed increase,","[[petitioner],[]]","[[-1],[]]",-1
"Although petitioner received higher gas prices pending review by the Commission, petitioner suspended any increase in royalties paid to the royalty owners because the higher price could be subject to recoupment by petitioner customers.","[[petitioner],[]]","[[1],[]]",1
her Schedule C clearly put Schwab on notice,"[[petitioner],[]]","[[0],[]]",0
"Petitioner agreed to pay the higher royalty only if the royalty owners would provide petitioner with a bond or indemnity for the increase, plus interest, in case the price increase was not ultimately approved and a refund was due to the customers.","[[petitioner],[]]","[[1],[]]",1
Schwab does not dispute,"[[petitioner],[]]","[[0],[]]",0
Petitioner set the interest rate on the indemnity agreements at the same interest rate the Commission would have required petitioner to refund to its customers.,"[[petitioner],[]]","[[1],[]]",1
columns three and four apprised him,"[[petitioner],[]]","[[0],[]]",0
at the same interest rate the Commission would have required petitioner to refund to its customers.,"[[petitioner],[]]","[[1],[]]",1
"Respondents Irl Shutts, Robert Anderson, and Betty Anderson filed suit against petitioner in Kansas state court, seeking interest payments on their suspended royalties which petitioner had possessed pending the Commission approval of the price increases.","[[petitioner],[respondents,Shutts,Anderson]]","[[-1],[1,1,1]]",-1
"Respondents Irl Shutts, Robert Anderson, and Betty Anderson filed suit against petitioner in Kansas state court, seeking interest payments on their suspended royalties  ","[[petitioner],[respondents,Shutts,Anderson]]","[[-1],[1,1,1]]",-1
petitioner had possessed pending the Commission approval of the price increases.,"[[petitioner],[]]","[[-1],[]]",-1
"Shutts is a resident of Kansas, and the Andersons live in Oklahoma.","[[],[Shutts, Andersons]]","[[],[0,0]]",0
"Shutts and the Andersons [472 U.S. 797, 801] own gas leases in Oklahoma and Texas.","[[],[Shutts, Andersons]]","[[],[0,0]]",0
Over petitioner objection the Kansas trial court granted respondents motion to certify the suit as a class action under Kansas law.,"[[petitioner],[respondents]]","[[-1],[1]]",1
respondents motion to certify the suit as a class action under Kansas law,"[[],[respondents]]","[[],[1]]",1
After the class was certified respondents provided each class member with notice through first-class mail.,"[[],[respondents]]","[[],[1]]",1
certified respondents provided each class member with notice through first-class mail.,"[[],[respondents]]","[[],[1]]",1
"The notice described the action and informed each class member that he could appear in person or by counsel; otherwise each member would be represented by Shutts and the Andersons, the named plaintiffs. ","[[],[respondents]]","[[],[-1]]",-1
He simply disagrees with Reilly,"[[he],[]]","[[0],[]]",0
The court found petitioner liable under Kansas law for interest on the suspended royalties to all class members.,"[[petitioner],[]]","[[-1],[]]",-1
The court also rejected petitioner contention that Kansas law could not be applied to plaintiffs and royalty arrangements having no connection with Kansas.,"[[petitioner],[]]","[[-1],[]]",-1
The court also rejected petitioner contention,"[[petitioner],[]]","[[-1],[]]",-1
Kansas law could not be applied to plaintiffs and royalty arrangements having no connection with Kansas.,"[[plaintiffs],[]]","[[-1],[]]",-1
"Respondents claim that a party generally may assert only his own rights, and that petitioner has no standing to assert the rights of its adversary, the plaintiff class, in order to defeat the judgment in favor of the class.","[[petitioner,his],[respondents]]","[[-1,-1],[1]]",-1
"Respondents claim that a party generally may assert only his own rights, and that petitioner has no standing to assert the rights of its adversary","[[petitioner,his],[respondents]]","[[-1,-1],[1]]",-1
Respondents claim that a party generally may assert only his own rights,"[[his],[respondents]]","[[-1],[1]]",0
"this ""identical listing put [him] on notice ","[[petitioner],[]]","[[0],[]]",0
"Respondents claim that petitioner is barred by the rule requiring that a party assert only his own rights; they point out that respondents and petitioner are adversaries and do [472 U.S. 797, 805] not have allied interests such that petitioner would be a good proponent of class members interests","[[petitioner,his],[respondents]]","[[-1,-1],[1]]",-1
petitioner is barred by the rule,"[[petitioner],[]]","[[-1],[]]",-1
respondents and petitioner are adversaries,"[[petitioner],[respondents]]","[[-1],[-1]]",-1
petitioner would be a good proponent of class members interests,"[[petitioner],[]]","[[1],[]]",1
"They further urge that petitioner interference is unneeded because the class members have had opportunity to complain about Kansas assertion of jurisdiction over their claim, but none have done so.","[[petitioner],[they]]","[[-1],[1]]",-1
They further urge that petitioner interference is unneeded because the class members have had opportunity to complain about Kansas assertion of jurisdiction over their claim,"[[petitioner],[they]]","[[-1],[1]]",-1
petitioner interference is unneeded,"[[petitioner],[]]","[[-1],[]]",-1
"Respondents may be correct that petitioner does not possess standing jus tertii, but this is not the issue.","[[petitioner],[respondents]]","[[-1],[0]]",0
Respondents may be correct,"[[],[respondents]]","[[],[1]]",1
petitioner does not possess standing jus tertii,"[[petitioner],[]]","[[-1],[]]",-1
Petitioner seeks to vindicate its own interests.,"[[petitioner],[]]","[[1],[]]",1
"During a two-hour, tape-recorded session at Alaska state trooper headquarters, petitioner Thompson confessed he had killed his former wife.","[[petitioner thompson,he,his],[]]","[[-1,-1,-1],[]]",-1
"During a two-hour, tape-recorded session at Alaska state trooper headquarters, petitioner Thompson confessed","[[petitioner thompson],[]]","[[-1],[]]",-1
he had killed his former wife.,"[[he,his],[]]","[[-1,-1],[]]",-1
"Thompson maintained that the troopers gained his confession without according him the warnings required by Miranda v. Arizona, 384 U.S. 436 .","[[thompson,his,him],[]]","[[1,1,1],[]]",1
"the troopers gained his confession without according him the warnings required by Miranda v. Arizona, 384 U.S. 436 .","[[],[his,him]]","[[],[1,1]]",1
"The Alaska trial court denied his motion to suppress the confession, however, ruling that he was not ""in custody"" for Miranda purposes, therefore the troopers were not required to inform him of his Miranda rights.","[[his_1,he,him,his_2],[]]","[[-1,-1,-1,-1],[]]",-1
"The Alaska trial court denied his motion to suppress the confession, however","[[his],[]]","[[-1],[]]",-1
"he was not ""in custody"" for Miranda purposes","[[he],[]]","[[1],[]]",1
the troopers were not required to inform him of his Miranda rights.,"[[his,him],[]]","[[-1,-1],[]]",-1
"After a trial at which the prosecution played the tape-recorded confession, the jury found Thompson guilty of first-degree murder, and the Court of Appeals of Alaska affirmed his conviction.","[[thompson,his],[]]","[[-1,-1],[]]",-1
"The Federal District Court denied Thompson petition for a writ of habeas corpus, and the Ninth Circuit affirmed.","[[thompson],[]]","[[-1],[]]",-1
The Federal District Court denied Thompson petition for a writ of habeas corpus,"[[thompson],[]]","[[-1],[]]",-1
"Both courts held that a state court ruling that a defendant was not ""in custody"" for Miranda purposes qualifies as a ""fact"" determination entitled to a presumption of correctness under 28 U.S.C. 2254(d).","[[],[defendant]]","[[],[1]]",1
"a defendant was not ""in custody"" for Miranda purposes","[[],[defendant]]","[[],[1]]",1
"Thompson confession was placed in evidence at the ensuing Alaska state-court trial, and he was convicted of first-degree murder.","[[thompson,he],[]]","[[-1,-1],[]]",-1
Thompson confession was placed in evidence at the ensuing Alaska state-court trial,"[[thompson],[]]","[[-1],[]]",-1
he was convicted of first-degree murder.,"[[he],[]]","[[-1],[]]",-1
"Challenging his conviction in a federal habeas corpus proceeding, Thompson maintained that the Alaska troopers gained his confession without according him the warnings Miranda v. Arizona, 384 U.S. 436 (1966), requires: that he could remain silent; that anything he said could be used against him in court; and that he was entitled to an attorney, either retained or appointed.","[[his_1,thompson,his_2,him_1,he_1,he_2,him_2,he_3],[]]","[[1,1,1,1,1,1,1,1],[]]",1
"Challenging his conviction in a federal habeas corpus proceeding, Thompson","[[his,thompson],[]]","[[1,1],[]]",1
he said could be used against him in court,"[[he,him],[]]","[[-1,-1],[]]",-1
"he was entitled to an attorney, either retained or appointed.","[[he],[]]","[[-1],[]]",-1
"The state trial and appellate courts determined that Thompson was not ""in custody"" when he confessed.","[[thompson,he],[]]","[[1,1],[]]",1
"Thompson was not ""in custody"" when he confessed.","[[thompson,he],[]]","[[1,1],[]]",1
Schwab and amicus United States instead contend,"[[thompson,he],[]]","[[0,0],[]]",0
"The trustee in this case, petitioner William G. Schwab, maintains","[[thompson],[]]","[[0],[]]",0
Petitioner is a white school teacher,"[[he],[]]","[[0],[]]",0
she was accompanied by six Negro students,"[[thompson,his],[]]","[[0,0],[]]",-1
she left respondent premises.,"[[thompson],[]]","[[0],[]]",0
"she was [398 U.S. 144, 147] teaching that summer.","[[his,thompson],[]]","[[0,0],[]]",0
"Through a dental examination, the troopers conclusively established that the corpse was Dixie Thompson.","[[thompson],[]]","[[-1],[]]",-1
"On September 15, a trooper called Thompson and asked him to come to headquarters, purportedly to identify personal items the troopers thought belonged to Dixie Thompson.","[[thompson,him],[]]","[[-1,-1],[]]",-1
"Unlike Miss Adickes, the students were offered service, and were not arrested.","[[thompson,him],[]]","[[0,0],[]]",0
"she was a ""Caucasian in the company of Negroes.""","[[thompson],[]]","[[0],[]]",0
"It is now undisputed, however, that the trooper primary reason for contacting Thompson was to question him about the murder.","[[thompson,him],[]]","[[-1,-1],[]]",-1
the trooper primary reason for contacting Thompson was to question him about the murder.,"[[thompson,him],[]]","[[-1,-1],[]]",-1
"Thompson drove to the troopers headquarters in his pickup truck, and upon arriving, immediately identified the items as Dixie.","[[thompson,his],[]]","[[-1,-1],[]]",-1
"He remained at headquarters, however, for two more hours while two unarmed troopers continuously questioned him in a small interview room and tape-recorded the exchange.","[[he,him],[]]","[[-1,-1],[]]",-1
"Briefly stated, the conspiracy count of petitioner complaint made the following allegations: While serving as a volunteer teacher at a ""Freedom School"" for Negro children in Hattiesburg, Mississippi, petitioner went with six of her students to the Hattiesburg Public Library at about noon on August 14, 1964.","[[he],[]]","[[0],[]]",0
The troopers did not inform Thompson of his Miranda rights.,"[[thompson,his],[]]","[[1,1],[]]",1
"Briefly stated, the conspiracy count of petitioner complaint made the following allegations:","[[thompson,he_1,him,he_2,his],[]]","[[0,0,0,0,0],[]]",0
"Because they did not leave, the librarian called the Hattiesburg chief of police who told petitioner and her students that the library was closed, and ordered them to leave.","[[thompson],[]]","[[0],[]]",1
the librarian called the Hattiesburg chief of police who told petitioner and her students,"[[he],[]]","[[0],[]]",0
